Wrist_R	Thumb_R	Index_R	Middle_R	Ring_R	Pinky_R	Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
1441.3651767278277	1441.3651767278277	1441.3651767278277	1441.3651767278277	1441.3651767278277	1441.3651767278277	1441.3651767278277	873.8798742463434	756.6769838441294	851.3790089145398	1030.8831833522188	1177.6968300676742	3.76
1444.0442290848796	1444.0442290848796	1444.0442290848796	1444.0442290848796	1444.0442290848796	1444.0442290848796	1444.0442290848796	896.8458145919877	775.1820364022684	893.8375339220403	1063.688591163039	1179.2958092194026	3.8
1458.0917680376679	1458.0917680376679	1458.0917680376679	1458.0917680376679	1458.0917680376679	1458.0917680376679	1458.0917680376679	921.9383110269233	822.8474659664015	925.0373803213664	1064.6442516311251	1175.4200331197505	3.84
1468.8087334377815	1468.8087334377815	1468.8087334377815	1468.8087334377815	1468.8087334377815	1468.8087334377815	1468.8087334377815	939.3613559791605	858.0182376990816	903.5380794881927	1012.2334846085838	1160.4797226898288	3.88
1486.091668393432	1486.091668393432	1486.091668393432	1486.091668393432	1486.091668393432	1486.091668393432	1486.091668393432	978.9471457106433	931.433277733034	995.5728706067365	1066.065301514613	1180.5753548739367	3.92
1510.4828787480471	1510.4828787480471	1510.4828787480471	1510.4828787480471	1510.4828787480471	1510.4828787480471	1510.4828787480471	1012.245937191805	965.746671113906	1018.5756275483022	1070.3315202426368	1205.8260101588878	3.96
1531.6664894921826	1531.6664894921826	1531.6664894921826	1531.6664894921826	1531.6664894921826	1531.6664894921826	1531.6664894921826	1073.3781200071965	1050.236293747585	1101.1813993065568	1148.492419869884	1238.2155722477974	4.0
1569.1682167849626	1569.1682167849626	1569.1682167849626	1569.1682167849626	1569.1682167849626	1569.1682167849626	1569.1682167849626	1128.2157202454557	1095.8195393106046	1143.7952774769792	1198.0940110451702	1281.4360294799521	4.04
1609.365012601245	1609.365012601245	1609.365012601245	1609.365012601245	1609.365012601245	1609.365012601245	1609.365012601245	1198.35601816464	1140.71272950353	1189.7098049311714	1242.9317011134178	1324.081515167256	4.08
1639.5153269561974	1639.5153269561974	1639.5153269561974	1639.5153269561974	1639.5153269561974	1639.5153269561974	1639.5153269561974	1254.2346202304043	1206.5936155917468	1255.7909650548918	1306.3612011353437	1375.0291155737332	4.12
1645.313692642844	1645.313692642844	1645.313692642844	1645.313692642844	1645.313692642844	1645.313692642844	1645.313692642844	1297.0102279447979	1225.209798248011	1282.973119462536	1338.5542789969388	1405.7627741091887	4.16
1633.2423645974297	1633.2423645974297	1633.2423645974297	1633.2423645974297	1633.2423645974297	1633.2423645974297	1633.2423645974297	1310.5103815745238	1254.3148657205784	1311.3673209430553	1368.1967207982661	1415.900348039801	4.2
1627.89387714426	1627.89387714426	1627.89387714426	1627.89387714426	1627.89387714426	1627.89387714426	1627.89387714426	1296.8735348514192	1252.1281281348618	1292.2023222861155	1343.3078144089889	1404.6274035692124	4.24
1612.661691650184	1612.661691650184	1612.661691650184	1612.661691650184	1612.661691650184	1612.661691650184	1612.661691650184	1280.691556315414	1236.0603658088028	1283.4977732379696	1334.1770613420056	1383.4563259667455	4.28
1600.3730834344947	1600.3730834344947	1600.3730834344947	1600.3730834344947	1600.3730834344947	1600.3730834344947	1600.3730834344947	1256.5150171459209	1217.6033969717041	1254.748165739331	1302.9365472812326	1360.7242506777459	4.32
1583.8680100175238	1583.8680100175238	1583.8680100175238	1583.8680100175238	1583.8680100175238	1583.8680100175238	1583.8680100175238	1229.6851934250305	1178.265396657437	1236.8336465190187	1281.6883378736968	1332.5418300770962	4.36
1571.2976334067628	1571.2976334067628	1571.2976334067628	1571.2976334067628	1571.2976334067628	1571.2976334067628	1571.2976334067628	1210.8865552497746	1159.9391827351003	1206.1018900726235	1252.5815002794213	1305.5952870255396	4.4
1568.128236446641	1568.128236446641	1568.128236446641	1568.128236446641	1568.128236446641	1568.128236446641	1568.128236446641	1190.8181484541951	1134.7048757901014	1193.3397452060697	1240.5502158689217	1296.4162146024382	4.44
1566.984755724621	1566.984755724621	1566.984755724621	1566.984755724621	1566.984755724621	1566.984755724621	1566.984755724621	1184.625735395993	1141.896450262555	1177.620166985259	1227.5532102625652	1289.5097625744868	4.48
1565.559829237246	1565.559829237246	1565.559829237246	1565.559829237246	1565.559829237246	1565.559829237246	1565.559829237246	1177.141394809944	1145.608403254345	1178.0808255290683	1226.057708172568	1285.9795174832639	4.52
1565.268122318977	1565.268122318977	1565.268122318977	1565.268122318977	1565.268122318977	1565.268122318977	1565.268122318977	1175.423427058541	1147.68442633576	1174.6448499340452	1223.0716840535456	1285.893599754232	4.56
1562.2490231884542	1562.2490231884542	1562.2490231884542	1562.2490231884542	1562.2490231884542	1562.2490231884542	1562.2490231884542	1173.839686688898	1140.017731441407	1168.6112589962813	1219.2372471318295	1279.3978333102987	4.6
1561.8522251926631	1561.8522251926631	1561.8522251926631	1561.8522251926631	1561.8522251926631	1561.8522251926631	1561.8522251926631	1165.3418401611839	1132.4802234660415	1166.5357582276324	1216.9484964443545	1277.68331583558	4.64
1564.7498917426967	1564.7498917426967	1564.7498917426967	1564.7498917426967	1564.7498917426967	1564.7498917426967	1564.7498917426967	1164.439639953808	1132.730144339436	1160.079148247219	1212.7448467381876	1275.2174218307553	4.68
1562.2747176479795	1562.2747176479795	1562.2747176479795	1562.2747176479795	1562.2747176479795	1562.2747176479795	1562.2747176479795	1160.2829928942147	1125.630055463777	1160.4856369473603	1211.681594215623	1271.5439097651756	4.72
1563.3462577253458	1563.3462577253458	1563.3462577253458	1563.3462577253458	1563.3462577253458	1563.3462577253458	1563.3462577253458	1160.3507811707716	1132.7144287274505	1157.6791642793798	1210.001953856747	1272.4229373742003	4.76
1561.2665193463772	1561.2665193463772	1561.2665193463772	1561.2665193463772	1561.2665193463772	1561.2665193463772	1561.2665193463772	1163.500118733871	1127.9562826205254	1160.1427771826432	1208.9985817426616	1271.9084508192313	4.8
1568.0210286946597	1568.0210286946597	1568.0210286946597	1568.0210286946597	1568.0210286946597	1568.0210286946597	1568.0210286946597	1165.6884987353	1131.1973411561494	1160.4962511224555	1211.6627531953511	1277.7721554563827	4.84
1571.4271214008802	1571.4271214008802	1571.4271214008802	1571.4271214008802	1571.4271214008802	1571.4271214008802	1571.4271214008802	1172.1082667361657	1129.6135906873105	1158.571136936601	1214.8462957535612	1278.1381448032043	4.88
1577.7726479229364	1577.7726479229364	1577.7726479229364	1577.7726479229364	1577.7726479229364	1577.7726479229364	1577.7726479229364	1176.1705376955795	1133.4906873809773	1165.0553701397512	1219.1643191129479	1282.5485813097528	4.92
1577.3177320416141	1577.3177320416141	1577.3177320416141	1577.3177320416141	1577.3177320416141	1577.3177320416141	1577.3177320416141	1185.2742406708048	1139.2829820649397	1165.0321229230449	1224.2721827074904	1289.487890482808	4.96
1572.1953461161952	1572.1953461161952	1572.1953461161952	1572.1953461161952	1572.1953461161952	1572.1953461161952	1572.1953461161952	1185.7845692565315	1137.1196893281938	1170.6176382531683	1227.8519295134624	1291.9686319617106	5.0
1568.6909840385752	1568.6909840385752	1568.6909840385752	1568.6909840385752	1568.6909840385752	1568.6909840385752	1568.6909840385752	1179.2951322506956	1131.3857469548514	1167.5374380831804	1224.3744430561342	1288.6115324673979	5.04
