Thumb_R	Index_R	Thumb_L	Index_L	Action	sequence	Dict_value
1141.2536767427084	1141.2536767427084	1141.2536767427084	1154.5400714888176	Priming	EEEE	1601
1214.0095893595026	1214.0095893595026	1214.0095893595026	1232.5443337055767	Priming	EEEE	1601
1319.0473227399457	1319.0473227399457	1319.0473227399457	1327.379747068862	Priming	EEEE	1601
1411.3094531414042	1411.3094531414042	1411.3094531414042	1422.4845081877334	Priming	FFFF	2001
1486.792912653069	1486.792912653069	1486.792912653069	1492.6605479174816	Priming	FFFF	2001
1511.9346591358942	1511.9346591358942	1511.9346591358942	1518.6158784688166	Priming	FFFF	2001
1511.5234051885716	1511.5234051885716	1511.5234051885716	1510.1947089203736	Priming	FFFF	2001
1500.1647735276892	1500.1647735276892	1500.1647735276892	1499.612849033101	Priming	FFFF	2001
1495.7445000935336	1495.7445000935336	1495.7445000935336	1492.7843423082763	Priming	FFFF	2001
1488.073039993507	1488.073039993507	1488.073039993507	1491.1346785276266	Priming	FFFF	2001
1325.9596565647876	1325.9596565647876	1325.9596565647876	1333.9598880405802	Priming	EEEE	1601
1316.6347199137742	1316.6347199137742	1316.6347199137742	1327.489618419099	Priming	EEEE	1601
1326.909372125181	1326.909372125181	1326.909372125181	1337.1735896926225	Priming	EEEE	1601
1338.8388846819569	1338.8388846819569	1338.8388846819569	1351.4167571391315	Priming	EFEE	1650
1346.304117035825	1346.304117035825	1346.304117035825	1358.7967041114423	Priming	EFEE	1650
1349.609736039254	1349.609736039254	1349.609736039254	1362.578359871252	Priming	EFEE	1650
1350.5290252187872	1350.5290252187872	1350.5290252187872	1364.75350906684	Priming	FFFF	2001
1228.9341782688175	1228.9341782688175	1228.9341782688175	1226.8623701208776	Setting Units	EEEE	1601
1088.2156038994185	1088.2156038994185	1088.2156038994185	1070.7308463285815	Setting Units	DDDD	1201
1013.7610638215288	1013.7610638215288	1013.7610638215288	1029.241057225287	Setting Units	DDDD	1201
979.4920577705528	979.4920577705528	979.4920577705528	985.8898260357192	Setting Units	DDDD	1201
1377.481440783588	1377.481440783588	1377.481440783588	1441.0896606335336	Injection	FFFF	2001
1548.476275663482	1548.476275663482	1548.476275663482	1557.0225901527951	Injection	FGFF	2050
1625.876610341474	1625.876610341474	1625.876610341474	1643.2982317074757	Injection	GGGG	2401
1769.0900358482857	1769.0900358482857	1769.0900358482857	1782.7361858374122	Injection	GGGG	2401
1428.4493143931595	1428.4493143931595	1428.4493143931595	1408.2389404011728	Injection	FFFF	2001
1058.7345334514182	1058.7345334514182	1058.7345334514182	1018.7543861814067	Injection	DDDD	1201
1005.7323042411558	1005.7323042411558	1005.7323042411558	913.6025072015454	Injection	DDDD	1201
1062.8995105864378	1062.8995105864378	1062.8995105864378	982.432451193359	Injection	DDDD	1201
1036.699982083496	1036.699982083496	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1034.8490046190468	1034.8490046190468	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1033.5480389579654	1016.6176034736382	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1034.9668698718788	990.0296118007756	565.1973104847291	565.1973104847291	Injection	CCDD	809
1038.5648289778142	945.215274634928	1065.5239788234517	1065.5239788234517	Injection	DDDD	1201
1047.4510678755316	953.0430440619448	1034.1608308235463	1034.1608308235463	Injection	DDDD	1201
1091.967705741367	987.8209843977309	1030.5398355837035	1030.5398355837035	Injection	DDDD	1201
1037.0192767038325	904.9239937336838	697.3901739479253	697.3901739479253	Injection	CCDD	809
1032.2937712959872	887.7980804565683	591.205592337099	591.205592337099	Injection	CCDD	809
1026.8076321997094	874.9571101926485	510.4640901149385	510.4640901149385	Injection	BBDD	417
1027.5508880662237	872.0371131078964	481.33970156437726	481.33970156437726	Injection	BBDD	417
1024.8105077259097	871.5325639714321	452.3019428333527	452.3019428333527	Injection	BBDD	417
1020.8653592248982	868.6955832291999	450.1491250706825	450.1491250706825	Injection	BBDD	417
1017.2560931237444	863.6351931100975	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1016.4133544014982	867.4988595469968	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1017.7199353314054	864.0260466969279	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1016.5915235442664	863.9782495578845	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1018.2030630627892	865.3756198794233	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1019.860146182196	863.7475635087761	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1017.6569711610002	864.6213248451746	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1012.356278994498	861.5216938786771	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1012.1890361661676	860.5077004001931	439.6302901870341	439.6302901870341	Injection	BBDD	417
1029.2875760859583	878.2501291056652	448.3521264753142	448.3521264753142	Injection	BBDD	417
1041.1183262519428	888.6228701882969	453.7278632192008	453.7278632192008	Injection	BBDD	417
1041.290159786514	890.4798412150332	456.5041119664477	456.5041119664477	Injection	BBDD	417
1044.9944509627558	893.5946928015941	460.8562034409114	460.8562034409114	Injection	BBDD	417
1040.9178674724674	891.1802851218672	453.2657617822144	453.2657617822144	Injection	BBDD	417
1041.5839088382836	888.4407112286815	461.84984911370816	461.84984911370816	Injection	BBDD	417
1040.7037570797072	889.3634826642971	460.4003629004533	460.4003629004533	Injection	BBDD	417
1039.1961264758986	887.3783972914337	456.31228393876535	456.31228393876535	Injection	BBDD	417
1036.6010536691174	884.3893259810244	448.4444786214413	448.4444786214413	Injection	BBDD	417
1032.9464988642949	879.3699537410372	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1033.4410193481988	881.3193498185125	441.44764725711815	441.44764725711815	Injection	BBDD	417
1035.1948849975224	881.8242135490159	1053.1012726380286	1056.7279742665403	Injection	DDDD	1201
1036.4434981142704	910.0747573824898	553.4787465299207	553.4787465299207	Injection	CCDD	809
1079.036289517972	972.8206860042114	633.7781443563495	633.7781443563495	Injection	CCDD	809
1190.4808120266753	1134.8879465718364	941.8892966857744	941.8892966857744	Injection	DDEE	1209
1193.9919342233875	1196.2451215360663	972.719091081898	972.719091081898	Injection	DDEE	1209
1089.4246259369838	1100.6816433981628	1001.9883968632716	1001.9883968632716	Injection	DDDE	1202
0.0	0.0	1303.286873280517	1303.286873280517	Remove Tip	EEAA	1569
0.0	0.0	1222.5991346339708	1222.5991346339708	Remove Tip	EEAA	1569
0.0	0.0	1116.422614530265	1116.422614530265	Remove Tip	EEAA	1569
0.0	0.0	1115.3206700551536	1115.3206700551536	Remove Tip	EEAA	1569
0.0	0.0	1086.9281762648577	1086.9281762648577	Remove Tip	DDAA	1177
0.0	0.0	1137.3715385654632	1137.3715385654632	Remove Tip	EEAA	1569
0.0	0.0	1122.1321733119894	1122.1321733119894	Remove Tip	EEAA	1569
0.0	0.0	1089.2499598687018	1089.2499598687018	Remove Tip	DDAA	1177
0.0	0.0	1071.8111737215168	1071.8111737215168	Remove Tip	DDAA	1177
0.0	0.0	1073.2534117292068	1073.2534117292068	Remove Tip	DDAA	1177
0.0	0.0	1056.7279742665403	1056.7279742665403	Remove Tip	DDAA	1177
0.0	0.0	1053.1012726380286	1053.1012726380286	Remove Tip	DDAA	1177
0.0	0.0	1055.9301467851535	1055.9301467851535	Remove Tip	DDAA	1177
0.0	0.0	1039.3117266399072	1039.3117266399072	Remove Tip	DDAA	1177
0.0	0.0	1020.0524727962024	1020.0524727962024	Remove Tip	DDAA	1177
0.0	0.0	1084.5851060128027	1084.5851060128027	Remove Tip	DDAA	1177
0.0	0.0	1219.5617113307435	1219.5617113307435	Remove Tip	EEAA	1569
0.0	0.0	1122.5579129165528	1122.5579129165528	Remove Tip	EEAA	1569
0.0	0.0	1003.3929463260342	1003.3929463260342	Cap On	DDAA	1177
0.0	0.0	1089.6281002339576	1089.6281002339576	Cap On	DDAA	1177
0.0	0.0	1092.5036040437546	1092.5036040437546	Cap On	DDAA	1177
0.0	0.0	1124.4898099082084	1124.4898099082084	Cap On	EEAA	1569
0.0	0.0	1109.338204412941	1109.338204412941	Cap On	EEAA	1569
0.0	0.0	1111.0942064976125	1111.0942064976125	Cap On	EEAA	1569
0.0	0.0	1102.1839741022598	1102.1839741022598	Cap On	EEAA	1569
0.0	0.0	1047.0707018072749	1047.0707018072749	Cap On	DDAA	1177
0.0	0.0	1044.079736821917	1044.079736821917	Cap On	DDAA	1177
0.0	0.0	1041.1263221905865	1041.1263221905865	Cap On	DDAA	1177
0.0	0.0	1031.9088381861088	1031.9088381861088	Cap On	DDAA	1177
0.0	0.0	1025.7946990413568	1025.7946990413568	Cap On	DDAA	1177
1030.8081519730454	1030.8081519730454	1030.8081519730454	1176.6857717180542	Cap On	DEDD	1250
1003.0941861730092	1003.0941861730092	1003.0941861730092	1104.6925913931375	Cap On	DEDD	1250
