Thumb_RX	Index_RX	Thumb_RY	Index_RY	Thumb_LX	Index_LX	Thumb_LY	Index_LY	Action	start_time	end_time
1091.8523025512695	1116.4839363098145	768.8429188728333	662.5358712673187	893.6841201782227	931.7531204223632	741.7573928833008	761.9454789161682	Setting Units	26.545	26.625
1093.2012748718262	1120.3277397155762	772.8439807891846	660.920022726059	892.6790618896484	924.4364356994629	740.8950841426849	777.7564895153046	Setting Units	26.644	26.874
1098.4869689941406	1117.605869293213	778.6794376373291	666.4209308624268	893.9641342163086	915.6226043701172	734.6485197544098	780.6576268672943	Setting Units	26.914	27.324
1103.9265933789704	1111.280413175884	775.7381752290224	664.1395182986008	902.8941641355816	924.3293169925088	729.5840523117467	779.5599453072799	Setting Units	27.344	28.893
1087.5913365681965	1069.885648091634	779.7974467277527	665.0545763969421	905.6664339701334	910.7897631327311	732.5814127922058	781.8776178359985	Injection	28.913	29.283
1089.3353176116943	1061.254005432129	783.9017951488495	687.7899205684662	907.9599380493164	912.966570854187	734.4056403636932	786.3536185026169	Injection	29.403	29.573
1091.7452716827393	1069.9208164215088	767.7418023347855	676.9693154096603	908.5177946090698	919.8056745529175	721.2923580408096	784.6537524461746	Injection	29.663	29.853
1095.4056549072266	1056.1663436889648	730.8965599536896	645.032708644867	800.9935474395752	776.0513782501221	728.9490401744843	721.8878674507141	Injection	29.893	30.113
1077.6689529418945	1024.7930717468262	714.2671859264374	627.5476241111755	457.9803514480591	367.85412311553955	685.9200775623322	610.3273916244507	Injection	30.192	30.272
1095.025978088379	1051.192866734096	728.8164394242423	639.6402607645307	470.5275617327009	435.8856051308768	727.8117789540972	689.7820677076068	Injection	30.332	30.592
475.82638876778736	454.17339869907926	314.7098187037877	275.117176600865	773.5513850620815	741.8566049848284	766.6114558492388	686.6573739051819	Injection	30.612	30.862
925.8655881881714	902.0287675857544	0.0	0.0	1103.2225472586495	1044.878327505929	735.008020060403	642.2559295381818	Injection	30.882	31.142
894.3087005615234	882.3280143737793	664.682092666626	582.139241695404	782.4333254496256	815.1141866048177	839.7848796844482	745.8867573738098	Injection	31.182	31.552
979.0149879455566	965.68199634552	728.0653542280197	602.6186209917068	777.8305101394653	835.9963989257812	737.9536986351013	676.2952333688736	Injection	31.632	32.122
992.8205642700195	976.5222129821777	652.9948396682739	583.4851956367493	705.5406265258789	785.7906227111816	674.9492053985596	578.7107992172241	Injection	32.141	32.751
973.892686026437	953.6688913617816	634.6610263415745	577.4619044576373	677.020241873605	749.7594124930246	666.5990822655814	575.1487336839948	Injection	32.841	33.101
970.9832611083984	948.5001182556152	632.1661691665649	581.873514175415	670.9968566894531	753.3008995056152	670.6496844291687	579.6634855270386	Injection	33.141	33.341
976.5643119812012	950.8534145355225	655.4964673519135	578.343540430069	674.8822402954102	762.5963973999023	670.7611012458801	588.7191724777222	Injection	33.381	33.641
1159.871994165274	1140.0340747833252	786.7600313516764	655.3633753152994	917.8806429642898	1002.2676834693322	730.2243950733772	682.8728669423324	Injection	33.68	34.739
1421.5164360633264	1355.76966212346	417.59407433179706	423.02296523864453	342.215672823099	388.3519638501681	702.3207350877615	642.8906453572787	Injection	34.78	35.31
1198.3643531799316	1142.947940826416	120.10653018951416	148.85247766971588	376.2047481536865	356.7189931869507	789.9220240116119	645.052353143692	Injection	35.349	35.429
1284.803123474121	1063.2396411895752	-42.975498139858246	101.80073127150536	648.548755645752	653.5778760910034	896.8024259805679	717.7026933431625	Injection	35.579	35.709
1337.165756225586	1064.4168090820312	-104.97810959815979	62.84097343683243	636.6783332824707	644.5357894897461	881.3490343093872	695.6142997741699	Injection	35.779	35.879
1301.8967056274414	1040.3533744812012	-109.96520519256592	29.881141483783722	627.6650047302246	632.3787975311279	879.859367609024	687.1618974208832	Injection	35.899	35.969
1326.328468322754	1072.1683502197266	-105.56913167238235	1.34445458650589	633.0068206787109	632.6307392120361	879.3236553668976	682.2529077529907	Injection	36.029	36.139
1233.1876277923584	1034.9384880065918	-74.15046751499176	98.89771297574043	634.7572994232178	631.5164184570312	882.9663133621216	684.6237462759018	Injection	36.179	37.588
748.8525086811611	696.0114661625454	610.7794892958233	518.3478084504604	257.77533531188965	248.75454875401087	247.36856348173959	199.0981382897922	Injection	37.698	40.496
253.0064582824707	902.0287675857544	920.7338297367096	753.9009010791779	766.4888381958008	777.0048904418945	0.0	487.886383831501	Injection	40.576	40.806
263.8334846496582	902.0287675857544	36.699464321136475	19.4588041305542	506.5568542480469	455.95178604125977	46.273424327373505	487.886383831501	Injection	40.966	41.076
120.1354629762711	902.0287675857544	10.41190234884139	16.969480293412364	593.9741725306357	542.0956445509388	47.16887556737469	75.65302819974961	Injection	41.096	44.794
180.63277959823608	902.0287675857544	37.75179482996464	24.982794485986233	503.8406825065613	470.38843631744385	49.59427032619715	70.48380196094513	Injection	44.814	45.114
925.8655881881714	902.0287675857544	0.0	0.0	655.5225563049316	620.081262588501	37.57876217365265	70.65652281045914	Injection	45.264	45.344
925.8655881881714	902.0287675857544	0.0	0.0	675.7955551147461	638.3286094665527	108.07208061218262	76.36327922344208	Injection	45.364	45.474
925.8655881881714	902.0287675857544	0.0	0.0	680.2795886993408	638.7134456634521	128.7806734442711	101.59328922629356	Injection	45.513	45.603
113.63528251647949	902.0287675857544	17.598778009414673	15.307916700839996	572.4105262756348	537.9616451263428	104.98387768864632	73.78928393125534	Injection	45.663	45.903
96.93768637520927	902.0287675857544	21.238653659820557	29.244459015982493	584.9640900748117	550.4521015712193	103.32681259938649	80.6135972908565	Injection	45.923	46.193
925.8655881881714	902.0287675857544	0.0	0.0	668.2912445068359	643.5725593566895	125.9262102842331	72.40280985832214	Injection	46.233	46.353
925.8655881881714	902.0287675857544	0.0	0.0	687.3170127868652	639.2736854553223	90.5088472366333	89.97128105163574	Injection	46.453	46.623
925.8655881881714	902.0287675857544	0.0	0.0	701.3462162017822	644.5667552947998	109.69947338104248	80.40543794631958	Injection	46.663	46.773
925.8655881881714	902.0287675857544	0.0	0.0	649.4556427001953	625.6010055541992	70.9741473197937	83.53517353534698	Injection	46.793	46.893
925.8655881881714	902.0287675857544	0.0	0.0	673.0647277832031	626.6093063354492	68.47113132476807	97.11521118879318	Remove Tip	46.913	47.023
106.01540974208287	902.0287675857544	21.915476151875087	13.543397528784618	575.6474958147321	548.1492641993931	58.243218873228344	76.6211034996169	Remove Tip	47.073	47.343
925.8655881881714	902.0287675857544	0.0	0.0	683.3019828796387	651.3619613647461	88.44937205314636	86.16139948368073	Remove Tip	47.362	47.462
925.8655881881714	902.0287675857544	0.0	0.0	695.2493762969971	651.4827919006348	107.36671596765518	85.80836176872253	Remove Tip	47.482	47.572
925.8655881881714	902.0287675857544	12.354375665838068	12.0616276697679	621.4750047163529	590.3022454001687	76.7059806802056	72.72441305897452	Remove Tip	47.592	48.022
925.8655881881714	902.0287675857544	0.0	0.0	678.6972999572754	634.9949264526367	57.214935421943665	112.30599850416183	Remove Tip	48.042	48.142
925.8655881881714	902.0287675857544	0.0	0.0	694.7251224517822	657.0369529724121	71.9137841463089	76.41695827245712	Remove Tip	48.272	48.372
925.8655881881714	902.0287675857544	0.0	0.0	678.2242393493652	654.3622589111328	86.3101789355278	70.60897529125214	Remove Tip	48.542	48.692
925.8655881881714	902.0287675857544	0.0	0.0	718.3380603790283	672.2440195083618	96.66228197515011	70.7122577726841	Remove Tip	48.712	48.872
583.5484313964844	531.137580871582	109.58641597202846	96.48050895759037	766.4888381958008	205.71659088134766	35.31882903405598	487.886383831501	Remove Tip	48.892	49.142
491.9481263841902	428.4824241910662	9.474564812013082	99.70468608396394	842.981619153704	769.7988183157785	402.9665960797242	410.4529255628586	Remove Tip	49.161	50.27
1046.237112681071	994.6187369028727	289.9798634648323	272.654013633728	637.3183679580688	659.4051297505697	938.3087933063507	785.1910543441772	Remove Tip	50.381	51.111
1026.9465637207031	941.3649463653564	566.8479198217392	456.5359854698181	888.3444881439209	944.7577667236328	652.106294631958	624.7743916511536	Remove Tip	51.19	51.42
878.243727684021	851.6506671905518	785.5996924638748	633.2642322778702	625.6316518783569	680.023787021637	687.1973133087158	653.7415140867233	Remove Tip	51.46	51.97
753.5210609436035	758.456844329834	449.42835903167725	430.51033115386963	766.4888381958008	267.01274490356445	431.9034447669983	399.53992795944214	Remove Tip	52.01	52.59
743.523280620575	793.1220388412476	766.4780715107918	766.4948044717312	652.5474071502686	638.4756517410278	250.0643688440323	228.8971008360386	Remove Tip	52.609	53.239
744.4143915176392	820.9783458709717	702.2964414954185	673.3647966384888	1025.0073862075806	983.5615491867065	445.67427277565	412.6652289927006	Remove Tip	53.259	54.188
737.7163314819336	821.3746643066406	670.4552435874939	657.9471158981323	993.784065246582	957.8970909118652	462.46180057525635	441.9733715057373	Remove Tip	54.228	54.358
752.621603012085	825.8878803253174	665.4546082019806	663.9609718322754	993.0788803100586	960.3080558776855	455.45279681682587	442.5523155927658	Remove Tip	54.378	54.608
719.7965680635892	796.0177098787748	666.827528660114	669.167849283952	955.0182900061974	955.748405456543	456.218940111307	461.88878417015076	Remove Tip	54.648	55.158
722.6008987426758	786.701545715332	644.5254063606262	686.148054599762	958.8156127929688	950.4126930236816	449.04906034469604	483.2247054576874	Remove Tip	55.178	55.288
720.0068092346191	761.6476440429688	645.7157063484192	714.1898095607758	981.7385292053223	950.2554130554199	477.2157847881317	452.1864455938339	Cap On	55.328	55.578
712.4511623382568	766.0590648651123	650.0912153720856	723.2610619068146	1004.3948936462402	979.7029495239258	483.7775892019272	465.5140954256058	Cap On	55.668	55.758
724.9685986836752	785.3256670633951	659.8652386665344	710.2480173110962	987.3401006062826	968.1609090169271	454.80156540870667	455.56451439857483	Cap On	55.877	56.227
727.8633069992065	768.1519031524658	672.3924100399017	734.8582792282104	982.5056076049804	967.3507118225098	473.4746477007866	467.6406419277191	Cap On	56.297	56.427
733.2282829284668	783.8425254821777	677.8819477558136	724.4321036338806	993.9011192321778	975.6050491333008	483.95210444927216	467.2257900238037	Cap On	56.447	56.537
