Thumb_L	Index_L	Time
1570.2833912806775	1662.9586953703576	33.12
1598.867979382712	1716.7989551035396	33.16
1620.978093582165	1743.1728449252953	33.2
1645.1467906317666	1820.14031439474	33.24
1665.809228379064	1798.048124936196	33.28
1691.6163554208265	1836.5525316112544	33.32
1715.5131119129899	1858.5889228504839	33.36
1735.431320335717	1869.689224323272	33.4
1757.6099366281353	1889.6365711244305	33.44
1769.5631218674146	1902.169966997889	33.48
1784.1744439755284	1903.0961452287193	33.52
1781.524157376541	1811.314854729503	33.56
1772.0932000238802	1673.9539215647321	33.6
1776.266143636168	1735.2933224534731	33.64
1783.9046045221926	1741.7519030029048	33.68
1802.9376156489366	1769.870762502161	33.72
1803.0354097709785	1795.840797004896	33.76
1764.629081331062	1766.0410671691698	33.8
1694.943303307005	1690.440577595792	33.84
1595.2536838798248	1582.3418656034864	33.88
1474.9924599887083	1454.4584375328811	33.92
1343.5089445161416	1326.752976258482	33.96
1221.0284467529536	1209.4712607958068	34.0
1105.693932163616	1085.6904045550389	34.04
1032.6348221556038	1006.5121900020908	34.08
965.5852335833828	937.6346394374232	34.12
926.1249676395752	892.0378076579979	34.16
914.289019412464	868.444225562871	34.2
912.0532864110621	859.558365191361	34.24
918.9204824263969	860.8707151611452	34.28
933.6316073775574	862.9929990846251	34.32
944.6681448426167	870.3763533154482	34.36
948.8282557517771	877.5309530770168	34.4
953.9448857906729	883.5801738971485	34.44
960.5520684598016	893.7088064758359	34.48
965.5378795867168	903.5332605840615	34.52
966.0053315663301	909.0892343585912	34.56
962.7601097848639	904.3192933354602	34.6
958.3789082684699	905.847998807601	34.64
956.3721795801928	904.4065661944778	34.68
953.5509433026199	905.2451480420881	34.72
951.8308826647318	903.6929907247583	34.76
949.6231422192334	900.2559648285164	34.8
946.4375466359455	897.6206393710372	34.84
941.9215405078526	892.7837396271142	34.88
937.492315062628	892.5725533002144	34.92
934.6564151332225	891.895439599011	34.96
933.9896011635465	891.3960123149661	35.0
932.9307664117281	891.2804111178598	35.04
932.5589568551026	888.4982679202269	35.08
933.1610142342287	888.1563302406872	35.12
931.079695368645	890.9587744516946	35.16
932.2321325770122	885.8431232420113	35.2
930.293724136602	888.4090428390886	35.24
931.8453355648107	884.1670656690605	35.28
931.7541989260592	884.6527745172108	35.32
934.0254782177814	885.9404109480712	35.36
932.9366835056366	888.1166930649	35.4
936.3171773473621	890.0654239806962	35.44
935.2719953267451	888.0948911182556	35.48
933.8239080497734	891.5167265550616	35.52
935.5948362489597	887.7146960198261	35.56
934.417694141599	887.8879724294072	35.6
934.5066244171117	889.1249808944941	35.64
936.8318754100025	885.6997492239981	35.68
934.7490681603131	889.7064323095404	35.72
935.7737082383335	887.9186751247337	35.76
934.1380524285612	889.8123846382681	35.8
936.4081284136358	885.9303281214378	35.84
934.8676410744578	887.0225152326324	35.88
935.374818064579	887.8580564848902	35.92
937.7267432860182	889.3794799255326	35.96
937.8282913931798	891.4827753490614	36.0
938.4839394899873	890.3593569617334	36.04
935.9543881874737	891.1749817325274	36.08
938.8037514539078	890.0778288152927	36.12
943.360431085423	893.8144463361592	36.16
951.2482567269133	898.0312713093668	36.2
958.0507625987319	908.074358814156	36.24
965.6958683912582	912.901831459344	36.28
968.2917142260995	921.0137768051624	36.32
973.3135626000319	923.605398109685	36.36
978.811290435316	922.6599452777089	36.4
980.2460398464348	930.531160668801	36.44
985.3962268078868	928.9887284962817	36.48
987.4338393542819	935.1462781942555	36.52
992.0932997415753	943.1981146857793	36.56
996.1494340247519	945.2544435359807	36.6
1000.3640933612993	946.8187468111709	36.64
1002.9553099961465	946.7729894446815	36.68
1004.031498158006	952.4528618957927	36.72
1006.8961718521746	953.3804634920765	36.76
1009.3397072529518	953.6746758539068	36.8
1009.9174251122986	958.5186960576434	36.84
1011.4981557525417	957.954907257515	36.88
1012.972876753575	958.2955963274828	36.92
1015.1389129111841	959.6494378910596	36.96
1015.9825451156073	961.424779508791	37.0
1018.3931301345457	963.2602396170386	37.04
1021.2335207583014	964.3382368918885	37.08
1021.7740035391253	967.8174681147257	37.12
1025.4892990806627	970.1397190532075	37.16
1027.4760220740118	971.5434186350741	37.2
1029.0884864421762	972.3489947911175	37.24
1030.0384308445994	972.9983372382355	37.28
1032.3957679813427	975.2766026842463	37.32
1033.9383424907087	976.8881300869042	37.36
1036.7870193399415	979.2418603585678	37.4
1037.6712425198118	978.8786574936125	37.44
1038.4751849916613	976.6708338153743	37.48
1037.7925287746868	975.2049232916032	37.52
1037.4664699522207	974.1282108574446	37.56
1035.7447864500189	971.3669717089795	37.6
1033.8817686993555	970.837689764836	37.64
1034.2008638783263	965.4145342150723	37.68
1029.4237970790352	961.358779306111	37.72
1024.6103811076675	953.4347226034987	37.76
1020.0819714005719	944.4235090091751	37.8
1015.6121120019551	938.8407039497247	37.84
1012.6851371902806	934.5527786376572	37.88
1012.5511487940574	932.0257942178823	37.92
1013.5899714990971	929.7984273126553	37.96
1010.8955721648738	925.29431248076	38.0
1007.4093500807918	922.3973772513808	38.04
1005.755501607148	918.9391924653276	38.08
1006.25079358457	919.6893915690739	38.12
1005.796127940054	917.4284314217736	38.16
1005.7924451161279	918.3731819331484	38.2
0.0	0.0	38.24
0.0	0.0	38.28
998.0545827962941	908.8341511599161	38.32
1002.6921726750066	908.7840746771762	38.36
999.1226896841623	908.086195756488	38.4
1002.5009790940916	908.2006049524128	38.44
1001.8737588833336	908.1577984402941	38.48
1004.6239247682643	908.2644074360302	38.52
1002.029884673603	907.2467230534699	38.56
1002.216675732059	906.2114793819109	38.6
1000.4704010382861	902.7683952222412	38.64
999.424149535988	899.8025021683161	38.68
1000.1141968421184	901.8568995033844	38.72
997.93855960926	897.8531781573076	38.76
996.9034555364412	898.4243267928531	38.8
997.148677645182	898.4546810591416	38.84
995.1455416884805	898.9056211201603	38.88
997.2288959862194	898.3059240504091	38.92
996.4313912416138	896.9388342945417	38.96
993.5194303884135	897.8731387834359	39.0
996.4232143763384	896.4867341488988	39.04
994.0253476577784	896.361201619088	39.08
995.6962573510353	896.3328403467368	39.12
996.0796734250836	896.1253294623547	39.16
994.6979573131723	896.5254700308094	39.2
997.3207478215593	898.2627162190761	39.24
997.386094813379	896.3095882796733	39.28
994.5321103574158	896.4944778964143	39.32
996.9545957273325	897.925755817663	39.36
995.728974815604	896.0031555099384	39.4
995.7360179521039	896.1380015447464	39.44
994.040795987414	894.741098349375	39.48
993.7063962228838	894.2051647610123	39.52
996.4817715408375	896.6470643721997	39.56
994.5710141303468	896.1169403114615	39.6
996.1224683024578	896.4180741884904	39.64
998.55206534915	897.4836807325161	39.68
996.4815131683139	896.3138238450902	39.72
995.7981903692668	896.3348379549694	39.76
993.9821496007393	894.7394448456549	39.8
995.0436294927041	895.5552011877545	39.84
998.1053061646795	896.694965195167	39.88
997.6111012122562	897.1619757447609	39.92
998.3438267662292	896.7735809346224	39.96
998.4554301130538	895.0210701519978	40.0
997.69738116567	896.0438562461259	40.04
997.1992082899318	895.3902985209124	40.08
996.7187136407384	894.5342860528116	40.12
995.6988649388295	892.669358663015	40.16
996.1219050260055	891.6681226589911	40.2
996.2288068420013	890.7152729931081	40.24
995.7976432167617	890.3880055182401	40.28
997.3275864668602	891.908005298446	40.32
995.9774702071884	891.4110598341425	40.36
996.8283803460781	892.5891081191876	40.4
996.953281057328	892.1775349221526	40.44
996.9025117868366	891.5520244889958	40.48
997.1177097218191	894.1528557700611	40.52
998.6146220488595	894.9474047789621	40.56
995.218164298837	892.3194692306336	40.6
996.4108881335902	892.627488545188	40.64
995.75241882901	892.4921064952491	40.68
997.2182223260157	892.79698788655	40.72
997.2005853585792	892.5205974147644	40.76
996.8040208120404	892.3386825679044	40.8
995.3661063316503	891.1051584552738	40.84
996.5700741442486	892.9561460724342	40.88
993.959284950401	889.3924458701949	40.92
995.1358573754031	892.6506744876998	40.96
996.9434239779495	892.3345857975128	41.0
995.4398104544779	890.1894965870463	41.04
