Thumb_R	Index_R	Time
1037.0759393873404	1022.6084837260305	12.04
1029.3428415913072	1000.882867075552	12.08
1040.4714536650383	1021.4060996745964	12.12
1041.667482325516	1031.7823789980084	12.16
1043.5153920720315	1049.6382619313624	12.2
1042.5243152038609	1044.8231450051376	12.24
1037.764221167375	1047.2678039072166	12.28
1039.2577465323673	1047.4386859200629	12.32
1035.773680936836	1049.6098519639909	12.36
1034.0756942095065	1047.6078652007745	12.4
1030.4578529646649	1037.663261522181	12.44
1024.1376070814583	1030.5511040085794	12.48
1019.4874866573047	1022.725141288251	12.52
1018.4421666823145	1023.0728136211861	12.56
1014.7517372820447	1025.5373435670172	12.6
1013.5421993825687	1023.2722706915216	12.64
1013.7969301015299	1019.4912009242078	12.68
1009.5476171492077	1024.4736790403706	12.72
1004.9759560208445	1017.3357243740224	12.76
1005.4360453523478	1016.0863195663846	12.8
1004.6447150460851	1010.4484932407369	12.84
1007.8407080055176	1013.7787927417198	12.88
1011.0081122358974	1014.6642777292948	12.92
1015.7496987926555	1020.3645216416907	12.96
1018.0357818319384	1019.9334248944061	13.0
1020.7849929294036	1025.146840478303	13.04
1069.2658903904346	1060.8619144620673	13.08
1136.1699321174283	1116.1334458463737	13.12
1225.5046109812515	1203.239313752398	13.16
1272.019718169954	1271.6347188789741	13.2
1295.5168646835145	1298.3329416725362	13.24
1312.9712942288738	1303.6971045079717	13.28
1335.5286622224864	1332.9377893400256	13.32
1359.7421941625844	1362.7390634007625	13.36
1383.1066301094338	1394.5951301115142	13.4
1409.649122054718	1421.2492335575207	13.44
1426.3320341778451	1437.2129820464966	13.48
1433.9425663851428	1441.8517040573606	13.52
1440.2155712253382	1446.0123422101503	13.56
1442.891714755201	1446.9208925728988	13.6
1447.269117083321	1446.483783219229	13.64
1443.724645617017	1445.29593697223	13.68
1445.4446148332747	1448.3499802610704	13.72
1445.005915552286	1449.4756398508127	13.76
1439.0394606650755	1450.994544377482	13.8
1439.4709527761968	1450.4342941626537	13.84
1442.7422822654064	1451.5166038313068	13.88
1444.1834362619704	1453.5754435931965	13.92
1432.697007987141	1452.1663218608833	13.96
1423.5728899777896	1444.2824491848266	14.0
1419.7360323288012	1428.5729422851825	14.04
1399.9910438125237	1406.3700206040219	14.08
1374.2765061535654	1367.4787198103807	14.12
1330.8141103895314	1323.5921252115245	14.16
1287.3252085674037	1272.0848009452359	14.2
1242.611260409102	1230.942843331639	14.24
1218.724843933936	1204.3474815680042	14.28
1220.3389735480262	1194.074335495701	14.32
1205.2662719652938	1180.5459050783636	14.36
1195.9302911812117	1177.3480959451508	14.4
1183.1412132878527	1176.3907454934413	14.44
1189.9024652856099	1165.5043464881019	14.48
1187.0918225764008	1166.0883467005517	14.52
1191.241470018828	1163.2661457850847	14.56
1182.6725470149688	1164.8826432686103	14.6
1177.995309355432	1167.1833458838596	14.64
1171.274255819287	1164.3634660368637	14.68
1162.5545128588674	1155.2930192057834	14.72
1152.3825541853375	1146.7219358011916	14.76
1146.3323804379386	1138.965235967247	14.8
1135.5198934914504	1129.6446071959901	14.84
1131.3102123846418	1124.836261300385	14.88
1125.7284992432812	1119.5828752794173	14.92
1123.5865793809833	1117.2414745232215	14.96
1124.9749609133537	1116.0556687691696	15.0
1126.8703953358656	1115.6780646287234	15.04
1127.808998515935	1115.7283631809664	15.08
1124.6508627660419	1112.846642362533	15.12
1119.5536141392502	1109.2573434136973	15.16
1121.7728263869578	1109.4986371651435	15.2
1125.6778836407166	1111.9881047174313	15.24
1119.6242534899914	1110.0193123242316	15.28
1116.7314591283864	1108.1617328189186	15.32
1119.1187203093	1110.102078583953	15.36
1117.1282472068638	1109.3904515416064	15.4
1116.7479032623312	1107.8741664035686	15.44
1114.7318457347199	1107.0641339467752	15.48
1116.3939295828739	1108.5196090137179	15.52
1116.9354259154081	1107.0729332721494	15.56
1115.0207805255548	1105.3912557751842	15.6
1115.0668176131335	1105.2550421695685	15.64
